@RELATION iris
@ATTRIBUTE Cena	REAL
@ATTRIBUTE Size REAL
@ATTRIBUTE Place {Stanovanje,Hiša}
@ATTRIBUTE Lokacija {CELJE,KAMNIK,KOPER,KRANJ,LJUBLJANA,LOGATEC,LUCIJA,MARIBOR,PTUJ,TRBOVLJE,VELENJE}
@DATA
462324,121.74,Stanovanje,LJUBLJANA
135000,80.00,Stanovanje,KAMNIK
110000,40.00,Stanovanje,KOPER
100000,24.00,Stanovanje,LJUBLJANA
109990,66.44,Stanovanje,MARIBOR
115000,109.00,Stanovanje,CELJE
300000,149.00,Stanovanje,LJUBLJANA
95000,71.00,Stanovanje,MARIBOR
165000,75.00,Stanovanje,LJUBLJANA
125000,40.90,Stanovanje,LJUBLJANA
139900,69.99,Stanovanje,LJUBLJANA
61999,42.00,Stanovanje,MARIBOR
70000,56.85,Stanovanje,MARIBOR
103000,45.00,Stanovanje,LJUBLJANA
134000,55.00,Stanovanje,LJUBLJANA
199665,145.00,Stanovanje,MARIBOR
550000,165.00,Stanovanje,LJUBLJANA
69900,23.65,Stanovanje,LJUBLJANA
219000,115.00,Stanovanje,MARIBOR
220000,76.00,Stanovanje,LJUBLJANA
160000,72.00,Stanovanje,LJUBLJANA
155000,120.00,Stanovanje,LJUBLJANA
119000,35.21,Stanovanje,LJUBLJANA
69000,31.04,Stanovanje,LOGATEC
83000,34.00,Stanovanje,KAMNIK
58000,44.00,Stanovanje,MARIBOR
320000,80.00,Stanovanje,LJUBLJANA
108000,80.45,Stanovanje,MARIBOR
320000,75.00,Stanovanje,LJUBLJANA
80000,66.00,Stanovanje,MARIBOR
110000,84.35,Stanovanje,MARIBOR
311905,67.59,Stanovanje,LJUBLJANA
89900,40.20,Stanovanje,KOPER
233037,104.57,Stanovanje,KRANJ
132000,60.00,Stanovanje,LJUBLJANA
104990,42.28,Stanovanje,LJUBLJANA
190000,47.30,Stanovanje,LUCIJA
135000,80.00,Stanovanje,KAMNIK
88990,64.96,Stanovanje,KRANJ
250268,100.00,Stanovanje,MARIBOR
150000,50.00,Stanovanje,LJUBLJANA
117000,80.84,Stanovanje,KRANJ
135000,78.00,Stanovanje,KAMNIK
59000,99.00,Stanovanje,PTUJ
499990,143.80,Stanovanje,LJUBLJANA
129000,55.00,Stanovanje,KOPER
140000,43.00,Stanovanje,LUCIJA
169000,57.00,Stanovanje,LJUBLJANA
70000,57.09,Stanovanje,CELJE
153000,69.60,Stanovanje,LJUBLJANA
255000,74.00,Stanovanje,LJUBLJANA
120000,42.00,Stanovanje,LJUBLJANA
72000,83.00,Stanovanje,MARIBOR
39900,33.00,Stanovanje,MARIBOR
98000,59.59,Stanovanje,LOGATEC
93000,25.00,Stanovanje,LJUBLJANA
119000,50.70,Stanovanje,LUCIJA
115000,37.00,Stanovanje,LJUBLJANA
73000,52.00,Stanovanje,CELJE
72000,54.00,Stanovanje,PTUJ
105000,86.00,Stanovanje,KAMNIK
93500,60.31,Stanovanje,MARIBOR
90000,43.00,Stanovanje,KAMNIK
250000,74.00,Stanovanje,LJUBLJANA
85000,66.90,Stanovanje,MARIBOR
